salad	샐러디	https://salady.com	http://salady.com/theme/salady/img/common/logo.png
ilsik	상무초밥	https://shangmuchobap.com	https://shangmuchobap.com/img/common/logo.png
cafe	설빙	https://sulbing.com	https://sulbing.com/img/common/logo.png
bunsik	명랑핫도그	https://myungranghotdog.com	https://myungranghotdog.com/img/logo.png
bakery	파리바게뜨	https://www.paris.co.kr	https://www.paris.co.kr/assets/images/common/logo.png
salad	슬로우캘리	https://slowcali.co.kr	https://slowcali.co.kr/img/common/logo.png
salad	샐러드판다	https://saladpanda.co.kr	https://saladpanda.co.kr/web/upload/category/logo/v2_logo_top.png
cafe	메가MGC커피	https://www.megamgcjuice.com	https://www.megamgcjuice.com/images/common/logo.png
cafe	빽다방	https://paikscoffee.com	https://paikscoffee.com/wp-content/themes/paikscoffee/assets/images/logo.png
cafe	스타벅스	https://www.starbucks.co.kr	https://www.starbucks.co.kr/common/img/common/logo.png
ilsik	홍대개미	http://hdgaemi.com	http://hdgaemi.com/img/common/logo.png
ilsik	핵밥	https://hecbap.com	https://hecbap.com/img/common/logo_on.png
bakery	뚜레쥬르	https://www.tlj.co.kr	https://www.tlj.co.kr/images/common/logo.png
salad	포케올데이	https://pokeallday.co.kr	https://pokeallday.co.kr/img/common/logo.png
cafe	컴포즈커피	https://composecoffee.com	https://composecoffee.com/img/common/logo.png
ilsik	무모한초밥	http://moomohan.com	http://moomohan.com/img/common/logo.png
bakery	던킨	https://www.dunkinkorea.com	https://www.dunkinkorea.com/assets/images/common/logo.png
pub	한신포차	https://hanshinpocha.com	https://hanshinpocha.com/wp-content/themes/hanshinpocha/assets/images/logo.png
gopchang	곱창이야기	http://www.gobstory.com	http://www.gobstory.com/img/common/logo.png
ilsik	홍익돈까스	https://hongikdonkatsu.com	https://hongikdonkatsu.com/img/common/logo.png
ilsik	무공돈까스	http://www.mugongdon.com	http://www.mugongdon.com/img/common/logo.png
ilsik	쑝쑝돈까스	http://ssongssong.co.kr	http://ssongssong.co.kr/img/common/logo.png
ilsik	미카도스시	http://www.mikadosushi.co.kr	http://www.mikadosushi.co.kr/img/common/logo.png
bunsik	와플대학	https://www.waffleuniv.com	https://www.waffleuniv.com/images/common/logo.png
gopchang	곱창고	https://www.gopchanggo.com	https://www.gopchanggo.com/img/common/logo.png
hansik	놀부부대찌개	https://www.nolboo.co.kr	https://www.nolboo.co.kr/images/common/logo.png
cafe	투썸플레이스	https://www.twosome.co.kr	https://www.twosome.co.kr/resources/images/common/logo.png
